id, name, type, weaponType
249, Translucent Oil, Enchantment, None
250, Saviour Oil, Enchantment, None
251, Scatter Oil, Enchantment, None
252, Scramble Oil, Enchantment, None
253, Seated Fit Oil, Enchantment, None
254, Seated Oil, Enchantment, None
255, Sect Oil, Enchantment, None
256, Sender Oil, Enchantment, None
257, Sensible Oil, Enchantment, None
258, Shaved Clip Oil, Enchantment, None
259, Shellman Oil, Enchantment, None
260, Sherlock Oil, Enchantment, None
261, Shower Oil, Enchantment, None
262, Shredder Oil, Enchantment, None
263, Size Up Oil, Enchantment, None
264, Skip Oil, Enchantment, None
265, Crit Oil, Enchantment, None
266, Slick Oil, Enchantment, None
267, Slippy Coating Oil, Enchantment, None
268, Slotmachine Oil, Enchantment, None
269, Slow Mo Oil, Enchantment, None
270, Slow Punch Oil, Enchantment, None
271, Scroll of Slush, Enchantment, None
272, Smart Bullet Oil, Enchantment, None
273, Smash Oil, Enchantment, None
274, Soft Bullet Oil, Enchantment, None
275, Solid Oil, Enchantment, None
276, Spartan Oil, Enchantment, None
277, Speed Trade Oil, Enchantment, None
278, Spitter Oil, Enchantment, None
279, Spread Oil, Enchantment, None
280, Stability Oil, Enchantment, None
281, Stable Hip Oil, Enchantment, None
282, Stationary Oil, Enchantment, None
283, Scroll of Steam, Enchantment, None
284, Stiffy Fit Oil, Enchantment, None
285, Stoic Oil, Enchantment, None
286, Scroll of Storm Surge, Enchantment, None
287, Suppressive Oil, Enchantment, None
288, Surgical Laser Oil, Enchantment, None
289, Synchronicity Oil, Enchantment, None
290, Tactical Oil, Enchantment, None
291, Tandem Oil, Enchantment, None
292, Task Oil, Enchantment, None
293, Tech Support Oil, Enchantment, None
294, Tension Oil, Enchantment, None
295, Terminator Oil, Enchantment, None
296, Test oil, Enchantment, None
297, Test oil 2, Enchantment, None
298, Tetrus Oil, Enchantment, None
299, Thorough Oil, Enchantment, None
300, Scroll of Thunderbolt, Enchantment, None
301, Tight Barrel Oil, Enchantment, None
302, Tight Oil, Enchantment, None
303, Too Much Oil, Enchantment, None
304, Scroll of Toxic Lobotomy, Enchantment, None
305, Triple Oil, Enchantment, None
306, Trusty Old Oil, Enchantment, None
307, Turbulence Oil, Enchantment, None
308, Twice Oil, Enchantment, None
309, Two Time Oil, Enchantment, None
310, Unlabeled Oil, Enchantment, None
311, Untechnical Oil, Enchantment, None
312, Vasectomy Oil, Enchantment, None
313, Vegan Oil, Enchantment, None
314, Vegetable Oil, Enchantment, None
315, Velocity Oil, Enchantment, None
316, Scroll of Voodoo, Enchantment, None
317, Walk Easy Oil, Enchantment, None
318, Waster Oil, Enchantment, None
319, Scroll of Water, Enchantment, None
320, Whim Oil, Enchantment, None
321, Whos Counting Oil, Enchantment, None
322, Wobble Oil, Enchantment, None
323, Xanny Oil, Enchantment, None
324, Zero Fucks Oil, Enchantment, None
325, Zooming Oil, Enchantment, None
326, Sulf Air, Armor, None
327, Air Duster, Misc, None
328, Americano, Consumable, None
329, Amulet, Misc, None
330, Aspic, Consumable, None
331, Ass Wheel™, Misc, None
332, Badass Vest, Armor, None
333, Balaclava, Armor, None
334, Ballistic Helmet, Armor, None
335, Ballistic Vest, Armor, None
336, Banana, Consumable, None
337, Banana Bread, Consumable, None
338, Banana peel, Misc, None
339, Banana Sulfs, Consumable, None
340, Blue Bandana, Armor, None
341, Red Bandana, Armor, None
342, Bark, Misc, None
343, Bark bread, Consumable, None
344, Bathrobe, Armor, None
345, Beanie, Armor, None
346, Beans, Consumable, None
347, Beef Jerky, Consumable, None
348, Beer Helmet, Armor, None
349, BeGone, Misc, None
350, Berries, Consumable, None
351, Biscuits and Gravy, Consumable, None
352, Black Pepper, Consumable, None
353, Bladder, Misc, None
354, Blast Boot, Armor, None
355, Bleach, Misc, None
356, Blindfold, Armor, None
357, Blood, Consumable, None
358, Blood Bag, Gadget, None
359, Fried Blood Pudding, Consumable, None
360, Blue Slipper, Armor, None
361, Boba Tea, Consumable, None
362, Bomb, Gadget, None
363, Bone, Misc, None
364, Boomerang, Gadget, None
365, BOOMerang, Gadget, None
366, Bottle, Gadget, None
367, Bottled Scream, Gadget, None
368, Bottled Water, Consumable, None
369, Brain, Misc, None
370, Bread, Consumable, None
371, Breastplate, Armor, None
372, Broth, Consumable, None
373, Butter, Consumable, None
374, Buttermilk Pancakes, Consumable, None
375, Cacao, Consumable, None
376, Cactus, Consumable, None
377, Cactus Softdrink, Consumable, None
378, Grilled Cactus, Consumable, None
379, Lackerol Cactus, Consumable, None
380, Caltrops, Gadget, None
381, Camo Jacket, Armor, None
382, Candy Cane, Consumable, None
383, Cap, Armor, None
384, Cappuccino, Consumable, None
385, Bottled Caviar, Consumable, None
386, Tube Caviar, Consumable, None
387, Cencer, Gadget, None
388, Cereal, Consumable, None
389, Cevapi, Consumable, None
390, Cheese, Consumable, None
391, Cheeseburger, Consumable, None
392, Cheese Tops, Consumable, None
393, Chest of Drawers, Misc, None
394, Chicken Leg, Misc, None
395, Nashville Hot Chicken, Consumable, None
396, Chocolate Ball, Consumable, None
397, Chocolate Bar, Consumable, None
398, Chocolate Syrup, Consumable, None
399, Christmas Sock, Armor, None
400, Christmas Spice, Consumable, None
401, Christmas Sweater, Armor, None
402, Father's Shirt, Armor, None
403, Climbing Gear, Gadget, None
404, Clog, Armor, None
405, Cloth, Misc, None
406, Coffee, Consumable, None
407, Combat Boot, Armor, None
408, Cordon Bleu, Consumable, None
409, Cotton Candy, Consumable, None
410, Cotton Swabs, Misc, None
411, Cowboy Boot, Armor, None
412, Cowboy Hat, Armor, None
413, Cowboy Vest, Armor, None
414, Craw Eye, Misc, None
415, Craw Flesh, Misc, None
416, Craw Skin, Misc, None
417, Crown, Armor, None
418, Crypt Key, Misc, None
419, Cuisses De Grenouille, Consumable, None
420, Cultist Heart, Misc, None
421, Curry, Consumable, None
422, Currywurst, Consumable, None
423, Dark Lamp, Misc, None
424, Death's Favor, Gadget, None
425, Denim Jacket, Armor, None
426, Detective Pipe, Misc, None
427, Dimmie, Consumable, None
428, Disgusting Cookbook, Gadget, None
429, Dish Soap, Misc, None
430, Diving Mask, Armor, None
431, Dog Eye, Misc, None
432, Dog Flesh, Misc, None
433, Dog Skin, Misc, None
434, Dogtags, Misc, None
435, Dog Whistle, Misc, None
436, Dopp i Grytan, Consumable, None
437, Double Cheeseburger, Consumable, None
438, Dunce Cap, Armor, None
439, Ear Protectors, Armor, None
440, Egg, Consumable, None
441, Egg Toddy, Consumable, None
442, Encrypted Hoodie, Armor, None
443, Energy Gum, Consumable, None
444, Escargot, Consumable, None
445, Extra Lung, Misc, None
446, Eye Patch, Armor, None
447, False Sulfcap, Misc, None
448, Fatberg Chunk, Consumable, None
449, Firefighter Helmet, Armor, None
450, Firefighter Jacket, Armor, None
451, First Aid Kit, Consumable, None
452, Fish, Consumable, None
453, Fishing Rod, Gadget, None
454, Fish and chips, Consumable, None
455, Salted Fish, Consumable, None
456, Flour, Consumable, None
457, Fluffy Hat, Armor, None
458, Fondue, Consumable, None
459, Four-leaf Clover, Misc, None
460, French Hotdog, Consumable, None
461, French Toast, Consumable, None
462, Frog Leg, Consumable, None
463, Diving Fin, Armor, None
464, Full English Breakfast, Consumable, None
465, Funny Gas, Gadget, None
466, Gas Mask, Armor, None
467, Genie Shoe, Armor, None
468, Geta, Armor, None
469, Ghillie Suit, Armor, None
470, Goblin eye, Misc, None
471, Goblin flesh, Misc, None
472, Goblin skin, Misc, None
473, Golden Slipper, Armor, None
474, Gonster, Consumable, None
475, Graved salmon, Consumable, None
476, Gravy, Consumable, None
477, Green Glob, Misc, None
478, Grilled Poultry, Consumable, None
479, Sweet Gum, Consumable, None
480, Haggis, Consumable, None
481, Hard Bread, Consumable, None
482, Hardhat, Armor, None
483, Hardshell Taco, Consumable, None
484, Haukland Membership Card, Misc, None
485, Hazelnut, Consumable, None
486, Hazmat Suit, Armor, None
487, Health Potion, Consumable, None
488, Heart, Misc, None
489, Hedgehog Suit, Armor, None
490, Herbs, Consumable, None
491, Herbal Tea, Consumable, None
492, High Heel, Armor, None
493, High Quality Elf Shoe, Armor, None
494, Hockey Shoulder Pads, Armor, None
495, Hockey Helmet, Armor, None
496, Holy Toast, Consumable, None
497, Holy Water, Consumable, None
498, Holy Water, Gadget, None
499, Yellow Hoodie, Armor, None
500, Hot Pot, Consumable, None
501, Hot Sauce, Consumable, None
502, Hot Snacks, Consumable, None
503, Human eye, Misc, None
504, Human flesh, Misc, None
505, Human skin, Misc, None
506, Hunting Vest, Armor, None
507, Ice Skate, Armor, None
508, Instant Defibrillator, Misc, None
509, Intestines, Misc, None
510, Iron Feather, Misc, None
511, Berry Jam, Consumable, None
512, Berry Jam (Unsweetened), Consumable, None
513, Jansson's Temptation, Consumable, None
514, Jello, Consumable, None
515, Jet Pack, Gadget, None
516, Julmust, Consumable, None
517, Juniper Branch, Gadget, None
518, Karl-Oskar, Consumable, None
519, Kidney, Misc, None
520, Kidney Pie, Consumable, None
521, Kidney Stone, Consumable, None
522, Knee Pads, Misc, None
523, Knight's Helmet, Armor, None
524, Kombucha, Consumable, None
525, Latte, Consumable, None
526, Leather Jacket, Armor, None
527, Lemonade, Consumable, None
528, Leverpastej, Consumable, None
529, Library Card, Misc, None
530, Life Vest, Armor, None
531, Lightning in a Bottle, Gadget, None
532, Liquor, Consumable, None
533, Liver, Misc, None
534, Dumpling, Consumable, None
535, Shav'Wa bladder, Misc, None
536, Shav'Wa eye, Misc, None
537, Shav'Wa flesh, Misc, None
538, Shav'Wa skin, Misc, None
539, Loaded Die, Misc, None
540, Lock of the Magus, Misc, None
541, Lung, Misc, None
542, Lussekatt, Consumable, None
543, Lutfisk, Consumable, None
544, Mac'n'Cheese, Consumable, None
545, Maki, Consumable, None
546, Marshmallows, Consumable, None
547, Mashed Potatoes, Consumable, None
548, Green Tea Gum, Consumable, None
549, Green Tea, Consumable, None
550, Matcha, Consumable, None
551, Meat Skewer, Consumable, None
552, Meringue, Consumable, None
553, Metabulator Pump, Misc, None
554, Metal Detector, Gadget, None
555, Metal Scrap, Misc, None
556, Microfiber Dish Cloth, Misc, None
557, High Cut Helmet, Armor, None
558, Skimmed Milk, Consumable, None
559, Buttermilk, Consumable, None
560, Low Fat Milk, Consumable, None
561, Whole Milk, Consumable, None
562, Berry Milkshake, Consumable, None
563, Chocolate Milkshake, Consumable, None
564, Mineral Water, Consumable, None
565, Mochi, Consumable, None
566, Monkey Paw, Gadget, None
567, Motorcycle Helmet, Armor, None
568, Chocolate Mudcake, Consumable, None
569, Mulled Wine, Consumable, None
570, Fried Mushroom , Consumable, None
571, Mushroom Omelette, Consumable, None
572, Mushroom Skewer, Consumable, None
573, Mushroom Soup, Consumable, None
574, Mutagen Capsule, Misc, None
575, Mycota Squamata, Consumable, None
576, Mystery Meat, Consumable, None
577, Nigiri, Consumable, None
578, Nuggets, Consumable, None
579, Nut Mix, Consumable, None
580, Nut Spread, Consumable, None
581, Oats, Consumable, None
582, Office Wear, Armor, None
583, Oil Lamp, Gadget, None
584, Old-Timey Suit, Armor, None
585, Omelette, Consumable, None
586, Onigiri, Consumable, None
587, Pancreas, Misc, None
588, Paper, Misc, None
589, Parka, Armor, None
590, Spaghetti Bolognese, Consumable, None
591, Peanut, Consumable, None
592, Peanut Butter, Consumable, None
593, Peg Leg, Armor, None
594, Pillow Armor, Armor, None
595, Pine nuts, Consumable, None
596, Pith Helmet, Armor, None
597, Pizza, Consumable, None
598, Pizza Slice, Consumable, None
599, Plain White Tee, Armor, None
600, Plate Carrier, Armor, None
601, Platform Shoe, Armor, None
602, Pocket Sand, Gadget, None
603, Anti-Poison Gum, Consumable, None
604, Police Hat, Armor, None
605, Police Uniform, Armor, None
606, Pölsa, Consumable, None
607, Pølse, Consumable, None
608, Pope Hat, Armor, None
609, Porridge, Consumable, None
610, Potato, Consumable, None
611, Potato Salad, Consumable, None
612, Poutine, Consumable, None
613, Power Bar, Consumable, None
614, Lower Prison Key, Misc, None
615, Pyjamas, Armor, None
616, Pyttipanna, Consumable, None
617, Raclette, Consumable, None
618, Raincoat, Armor, None
619, Ramen, Consumable, None
620, Tori Ramen, Consumable, None
621, Key, Misc, None
622, Range Finder, Misc, None
623, Rat Cage, Gadget, None
624, Razorang, Gadget, None
625, Razor Blossom, Gadget, None
626, Refrigerator, Misc, None
627, Rhubarb, Consumable, None
628, Rhubarb Pie, Consumable, None
629, Rhubarb Porridge, Consumable, None
630, Rhubarb Sauce, Consumable, None
631, Rice, Consumable, None
632, Puffed Rice Cakes, Consumable, None
633, Risalamande, Consumable, None
634, Rice Porridge, Consumable, None
635, Robot Brain, Misc, None
636, Robot Control Unit, Misc, None
637, Robot Eye, Misc, None
638, Robot Flesh, Misc, None
639, Robot Heart, Misc, None
640, Robot Hydraul, Misc, None
641, Robot Joint Pneumatic, Misc, None
642, Robot Plate, Misc, None
643, Robot Septacoil, Misc, None
644, Robot Soul Capsule, Misc, None
645, Rock, Misc, None
646, Rödsopp, Consumable, None
647, Rödsopp Paste, Consumable, None
648, Roller Blade, Armor, None
649, Round Glasses, Armor, None
650, Rubber, Misc, None
651, Rubber Boot, Armor, None
652, Rudolf Nose, Armor, None
653, Running Shoe, Armor, None
654, Safe, Misc, None
655, Safety Vest, Armor, None
656, Salt, Consumable, None
657, Salted Sandfish, Consumable, None
658, Samurai Armor, Armor, None
659, Flat Sandfish, Consumable, None
660, Bread Sandwich, Consumable, None
661, Buddy Sandwich, Consumable, None
662, Butter Sandwich, Consumable, None
663, Cheese Sandwich, Consumable, None
664, Liver Pâté Sandwich, Consumable, None
665, Nut Spread Sandwich, Consumable, None
666, Peanutbutter Sandwich, Consumable, None
667, Peanutbutter Jelly Sandwich, Consumable, None
668, Santa Coat, Armor, None
669, Santa Hat, Armor, None
670, Sashimi, Consumable, None
671, Spicy Sausage, Consumable, None
672, Sausage Omelette, Consumable, None
673, Sausage On Stick, Consumable, None
674, Sausage Soup, Consumable, None
675, Sawdust, Misc, None
676, Oxygen Tank, Misc, None
677, Seaweed, Consumable, None
678, Sheriff's Badge, Misc, None
679, Shield Belt, Gadget, None
680, Shoe, Armor, None
681, Shovel, Gadget, None
682, Hellshrew eye, Misc, None
683, Hellshrew flesh, Misc, None
684, Hellshrew skin, Misc, None
685, Shrink Ray, Gadget, None
686, Shurikens, Gadget, None
687, Pickled herring platter, Consumable, None
688, Ski Goggles, Armor, None
689, Smoke Grenade, Gadget, None
690, Snail, Misc, None
691, Sneaker, Armor, None
692, Admiral White Extra Strong, Consumable, None
693, Sock, Armor, None
694, Soda, Consumable, None
695, Solution, Consumable, None
696, Spaghetti, Consumable, None
697, Spanish Omelette, Consumable, None
698, Spice Mix, Misc, None
699, Spleen, Misc, None
700, Sports Drink, Consumable, None
701, Springcoil Boot, Armor, None
702, Square Glasses, Armor, None
703, Steel Helmet, Armor, None
704, Stew, Consumable, None
705, Stick, Misc, None
706, Stout, Consumable, None
707, Straitjacket, Armor, None
708, Sugar, Consumable, None
709, Suitcase, Misc, None
710, SULFUR Cap, Armor, None
711, SULFUR Hoodie, Armor, None
712, Sunglasses, Armor, None
713, Surstromming, Consumable, None
714, Suspensor Shield, Gadget, None
715, Soapy Wool, Misc, None
716, Swedish Pancakes, Consumable, None
717, Swing-Ding, Consumable, None
718, Sylvester Hat, Armor, None
719, Tanker Helmet, Armor, None
720, Thyroid, Misc, None
721, Titanium Helmet, Armor, None
722, Toaster, Gadget, None
723, Toast Skagen, Consumable, None
724, Tongue, Misc, None
725, Tongue On Stick, Consumable, None
726, Tracksuit, Armor, None
727, Trapped Angel, Gadget, None
728, Green Tunic, Armor, None
729, Turtle Shell, Armor, None
730, Unagi, Consumable, None
731, Used Rubber, Misc, None
732, Vacuum Cleaner, Consumable, None
733, Vampire Heart, Gadget, None
734, Velvet Bell, Consumable, None
735, Vibraport, Gadget, None
736, Voodoo Doll, Gadget, None
737, Walnut, Consumable, None
738, Wardrobe, Misc, None
739, Weapon Rack, Misc, None
740, Weapon Rack, Misc, None
741, Repair Kit, Misc, None
742, Wet Wipes, Misc, None
743, Red Wine, Consumable, None
744, Winter Scarf, Armor, None
745, Wooden Armor, Armor, None
746, Wooden Cross, Gadget, None
747, Earthworm, Consumable, None
748, Yakety Sax, Misc, None
749, Ygg, Armor, None
750, Guild Approved Cuisine, Consumable, None
751, The Chequered Cookbook, Consumable, None
752, Eating as Royals, Consumable, None
753, From the Cellar, Consumable, None
754, Shav'Wani delights, Consumable, None
755, Tastes From the Sewers™️, Consumable, None
756, Food for Desert Survival, Consumable, None
757, Delicacies of the Forest, Consumable, None
758, GABBA FOODMAKE, Consumable, None
759, Recipe: Aspic, Consumable, None
760, Recipe: Banana Sulfs, Consumable, None
761, Recipe: Bark bread, Consumable, None
762, Recipe: Beef Jerky, Consumable, None
763, Recipe: Broth, Consumable, None
764, Recipe: Broth, Consumable, None
765, Recipe: Butter, Consumable, None
766, Recipe: Butter, Consumable, None
767, Recipe: Cheese, Consumable, None
768, Recipe: Cheeseburger, Consumable, None
769, Recipe: Double Cheeseburger, Consumable, None
770, Recipe: Cheese Tops, Consumable, None
771, Recipe: Nuggets, Consumable, None
772, Recipe: Chocolate Ball, Consumable, None
773, Recipe: Chocolate Syrup, Consumable, None
774, Recipe: Cordon Bleu, Consumable, None
775, Recipe: Cuisses De Grenouille, Consumable, None
776, Recipe: Currywurst, Consumable, None
777, Recipe: Vacuum Cleaner, Consumable, None
778, Recipe: Dimmie, Consumable, None
779, Recipe: Egg Toddy, Consumable, None
780, Recipe: Escargot, Consumable, None
781, Recipe: Extra Lung, Consumable, None
782, Recipe: Extra Lung, Consumable, None
783, Recipe: Fish and chips, Consumable, None
784, Recipe: Fondue, Consumable, None
785, Recipe: French Hotdog, Consumable, None
786, Recipe: French Toast, Consumable, None
787, Recipe: Full English Breakfast, Consumable, None
788, Recipe: Full English Breakfast, Consumable, None
789, Recipe: Gonster, Consumable, None
790, Recipe: Green Glob, Consumable, None
791, Recipe: Green Glob, Consumable, None
792, Recipe: Sweet Gum, Consumable, None
793, Recipe: Sweet Gum, Consumable, None
794, Recipe: Hard Bread, Consumable, None
795, Recipe: Holy Toast, Consumable, None
796, Recipe: Hot Pot, Consumable, None
797, Recipe: Hot Pot, Consumable, None
798, Recipe: Hot Pot, Consumable, None
799, Recipe: Hot Pot, Consumable, None
800, Recipe: Berry Jam, Consumable, None
801, Recipe: Jello, Consumable, None
